transaction_amount,transaction_hour,account_age,user_transactions_last_24h,is_fraud
375.16557872851513,22,1616,3,0
721.8512677061719,3,13,5,1
732.2619478695937,17,2201,0,0
599.0598257128396,4,3089,2,0
156.8626218019941,15,2599,4,0
156.83852581586643,13,845,3,0
59.02552855603126,18,3420,3,0
866.3099696291603,13,3531,4,0
601.5138967314656,8,3274,1,0
708.3645052182494,5,3495,2,0
21.563909801506643,16,2328,4,0
969.9399423098323,18,2470,4,0
832.6101981596213,11,3041,3,0
213.12677156759787,3,3537,0,0
182.6431422398935,15,1977,0,0
184.22110534358038,10,1836,0,0
304.9380007165782,21,804,3,0
525.2316752006057,3,355,0,0
432.51307362347364,16,1606,4,0
291.93791105784385,7,378,1,0
612.2410418276571,13,3196,1,0
140.3543667913898,1,2128,1,0
292.85250388668294,10,1581,0,0
366.995481450398,10,988,1,0
456.6139142328189,23,233,0,0
785.3907854316205,21,3552,4,0
200.47410837620137,23,154,4,0
514.720203975198,5,907,3,0
592.8221542931805,20,3481,3,0
47.40396230727773,20,3103,2,0
952.578300308116,13,12,6,1
171.35359956360423,9,3629,0,0
65.98654139229424,7,3575,2,0
948.93665171608,6,2419,4,0
965.6664010414848,7,323,0,0
808.5889507683447,7,332,4,0
305.3091554041973,22,243,4,0
98.5744418923775,1,3624,0,0
684.5487934856448,15,430,4,0
440.7123412458617,8,1206,4,0
122.91619660993405,12,2857,4,0
495.6817332011589,22,1497,3,0
35.35413259410318,11,2424,1,0
909.4110816767032,21,81,4,0
259.5212016184169,16,1574,0,0
662.859762069628,1,420,4,0
312.3993650133215,12,467,3,0
520.547953156633,0,3500,3,0
547.1635690639364,18,1081,4,0
185.6696010700015,10,3394,2,0
969.615043136794,4,2001,1,0
775.3576905377535,0,1566,0,0
939.5594426226249,19,1519,0,0
894.9325230772212,12,3338,0,0
598.3020788322741,7,3299,0,0
921.9523607880938,5,2877,3,0
89.40400954986758,16,2036,1,0
196.78687955672606,11,804,4,0
46.182061621627525,0,1078,4,0
326.00500043250105,2,1633,2,0
389.2886123997925,13,1985,4,0
272.077682742122,7,3026,1,0
828.9087716427774,10,4,4,0
357.39657336689567,13,3511,3,0
281.65357517769337,7,3382,4,0
543.1533870750902,2,1903,0,0
141.78330074978788,6,603,0,0
802.3947837732857,18,3161,0,0
75.47609303609106,3,2368,0,0
986.9000496639168,15,1399,3,0
772.4725245273607,12,501,3,0
199.51696585263824,19,1686,3,0
6.516595006478797,18,3306,4,0
815.6459670263794,4,3409,0,0
707.1504865037695,22,2619,2,0
729.2781608729463,4,185,2,0
771.4990763392598,19,3510,0,0
74.97060708235627,23,2604,1,0
359.10726281572835,3,3252,4,0
116.75319046560459,1,3148,2,0
863.240322449718,12,2941,3,0
623.6748287007304,15,1296,1,0
331.5671268277965,21,55,3,0
64.49479193573761,1,1725,1,0
311.67133939394654,18,2911,1,0
325.8581387047203,16,1871,4,0
729.876572159726,4,77,3,0
637.9199138838579,17,2344,3,0
887.3255298337502,22,3291,2,0
472.74271023678733,20,3349,0,0
120.4746516923634,17,1602,0,0
713.531542435772,7,1672,2,0
761.0242635682805,14,2794,1,0
561.7159203719267,12,1735,2,0
